Cliente_ID,prob_compra,MoHoPol
2476,0.7209191969144199,1
1053,0.7164769206806868,1
1166,0.6355814894076227,1
267,0.5817010167073677,1
1473,0.566148253489441,1
1060,0.5384883038054599,1
4147,0.535980821272439,1
2240,0.5101351574495613,1
584,0.4692994468654293,1
2960,0.4692994468654293,0
3552,0.46425864267286737,1
183,0.456714170013835,1
1607,0.454853700731547,1
945,0.44214883023434776,1
601,0.43826132607358836,0
3656,0.4339517749810319,1
1691,0.4226243598737473,1
1913,0.4174272910160418,0
326,0.41713172326515835,0
4647,0.41713172326515835,1
706,0.41293474884368486,1
19,0.41208312069240005,0
609,0.40952582219545797,1
4565,0.406358780771187,0
3979,0.406358780771187,1
2877,0.39947845597901144,1
2623,0.39465410901895864,0
445,0.39465410901895864,1
3333,0.39465410901895864,0
2302,0.39465410901895864,0
896,0.39328922648014897,0
3922,0.39229666840786154,1
1385,0.3893071146301963,0
970,0.38692989115025755,0
4372,0.38663117877103825,0
821,0.38385553244148074,1
2403,0.3836886869922107,1
3612,0.38131204386253503,0
1132,0.38131204386253503,0
235,0.3811799507802196,1
1013,0.37816415250401125,0
623,0.37816415250401125,1
2830,0.3767427000786573,1
4484,0.3767427000786573,0
3427,0.37063771324114436,1
4634,0.3697349642344985,1
1721,0.36937958049768016,0
831,0.3690475834071242,1
3216,0.36845592893245654,0
1134,0.36845592893245654,1
252,0.36845592893245654,0
3539,0.3667982731687331,1
3814,0.36588463325269477,0
421,0.3656112273551007,1
153,0.3639512641024052,0
516,0.3639512641024052,0
3607,0.3639512641024052,0
2493,0.36348559641071027,0
559,0.36224492576442524,0
2121,0.36177486493466926,0
2842,0.35925849650914854,1
4258,0.35669506663955797,0
2586,0.35669506663955797,0
2266,0.35669506663955797,0
2710,0.35669506663955797,0
4283,0.3564353580726773,0
3987,0.35621861028711366,1
3857,0.3490319811071436,1
543,0.34791091704696114,0
3199,0.3477258006539651,0
2445,0.3477258006539651,1
715,0.345570561778947,0
2998,0.34356983855252926,1
293,0.341619245040605,1
450,0.3406198570115798,0
260,0.33856326158219263,1
2442,0.3382405350401936,0
3137,0.3366592007648607,0
238,0.3366592007648607,1
3719,0.3366592007648607,0
235,0.334325592790058,0
2919,0.334325592790058,0
1049,0.33408075589774355,1
1462,0.33207641136304117,0
285,0.3287212482310741,0
2102,0.3279507005583035,1
2207,0.327326999104828,1
3186,0.327326999104828,0
507,0.327326999104828,0
2870,0.327326999104828,1
3006,0.327326999104828,0
509,0.327326999104828,1
2565,0.32698434310688723,1
264,0.32584227699412993,1
4564,0.32502542348240987,0
4155,0.3235562286222663,0
4204,0.32240636142385076,0
148,0.32240636142385076,0
3751,0.3210499654591282,0
790,0.3198603089569972,0
